,geometry,highway,lat,lon,osmid
655,POINT (589272.2039797087 4505469.019024209),,40.69529,-73.9433789,42499161
656,POINT (589311.8588976874 4505225.446315537),,40.6930918,-73.9429443,42499167
657,POINT (589325.0891994882 4505144.237105204),,40.6923589,-73.9427993,42499172
658,POINT (589338.329674075 4505062.905918579),,40.6916249,-73.9426542,42499174
659,POINT (589351.5342003577 4504981.774165842),,40.6908927,-73.9425095,42499177
660,POINT (589364.7474294684 4504900.642543786),,40.6901605,-73.9423647,42499180
661,POINT (589377.9521949774 4504819.533050294),,40.6894285,-73.94222,42499184
662,POINT (589391.1479619372 4504738.490087858),,40.6886971,-73.9420754,42499187
663,POINT (589417.6585255801 4504575.70623273),,40.687228,-73.9417849,42499192
664,POINT (591210.082335462 4504754.382924324),,40.688641,-73.92055,42499285
665,POINT (591326.167153106 4504915.128250183),,40.690076,-73.919153,42499288
666,POINT (591439.3592663012 4505070.177756673),,40.69146,-73.917791,42499290
667,POINT (591807.479651739 4505575.437103964),,40.69597,-73.913361,42499296
668,POINT (590298.3783266746 4505418.680469368),,40.6947248,-73.9312424,42499461
